Frame number,2892
First frame,1
Point frequency,30
Analog frequency,30

Time,M000,,,M001,,,M002,,,M003,,,M004,,,M005,,,M006,,,M007,,,M008,,,M009,,,M010,,,M011,,,M012,,,M013,,,M014,,,M015,,,M016,,,M017,,,M018,,,M019,,,M020,,,M021,,,M022,,,M023,,,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,M031,,,M032,,,M033,,,M034,,,M035,,,M036,,,M037,,,M038,,,M039,,,M040,,,M041,,,M042,,,M043,,,M044,,,M045,,,M046,,,M047,,,M048,,,M049,,,M050,,,M051,,,M052,,,M053,,,M054,,,M055,,,M056,,,M057,,,M058,,,M059,,,M060,,,M061,,,M062,,,M063,,,M064,,,M065,,,M066,,,M067,,,M068,,,M069,,,M070,,,M071,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-605.828,509.614,2554.45,-562.938,574.24,2392.88,-827.815,692.913,2631.53,-831.148,658.427,2473.59,-777.245,405.286,2241.32,-736.673,743.338,2242.91,-864.185,510.194,2632.11,0,0,0,-733.195,718.126,2729.05,-684.364,871.43,2699.78,-670.743,1004.3,2694.71,-688.856,1097.33,2677.03,-615.247,1177.89,2685.73,0,0,0,0,0,0,0,0,0,0,0,0,-784.2,274.441,2702.39,0,0,0,-857.52,73.0297,2670.22,-826.511,-4.34701,2709.64,0,0,0,-842.74,-9.99812,2634.87,0,0,0,-716.387,693.783,1371.34,-732.906,729.573,1585.06,0,0,0,0,0,0,-705.954,712.475,1781.4,-697.84,725.806,1884.28,-640.894,720.879,2233.78,0,0,0,-698.419,390.506,2224.94,-708.562,394.129,1887.04,-727.979,405.866,1751.84,-721.603,413.401,1588.25,0,0,0,0,0,0,-746.237,434.701,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-606.553,508.745,2554.3,-562.793,573.081,2393.03,-826.801,694.362,2631.24,-830.424,659.731,2473.3,-778.259,406.011,2241.32,-734.644,743.773,2242.62,-865.055,511.788,2631.82,0,0,0,0,0,0,-681.466,871.72,2698.48,-666.396,1004.59,2691.96,-683.64,1097.76,2673.27,-609.306,1177.6,2681.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-860.418,74.044,2669.93,-829.409,-3.47761,2709.2,0,0,0,-846.073,-9.12872,2634.58,0,0,0,-716.097,693.638,1371.34,-731.457,729.428,1584.92,0,0,0,0,0,0,-704.36,712.185,1781.11,-695.811,725.661,1883.99,-639.155,720.154,2233.49,0,0,0,-699.579,390.651,2224.94,-709.432,393.984,1887.04,-728.559,406.011,1751.84,-722.183,413.256,1588.25,0,0,0,0,0,0,-746.526,434.701,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-607.132,507.731,2554.45,-562.648,571.777,2393.17,-825.932,695.377,2630.95,-829.699,660.89,2473.01,-778.984,406.735,2241.17,-732.471,744.063,2242.04,-865.779,513.092,2631.53,0,0,0,0,0,0,-678.568,871.865,2697.03,-662.339,1004.3,2689.49,-678.423,1097.47,2669.93,-603.075,1176.74,2676.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-863.896,75.0584,2669.35,-833.322,-2.60821,2708.77,0,0,0,-849.985,-8.25932,2634,0,0,0,-715.663,693.493,1371.34,-730.008,729.573,1584.63,0,0,0,0,0,0,-702.766,712.185,1781.11,-693.927,725.371,1883.85,-637.561,719.72,2233.35,0,0,0,-700.593,390.651,2224.94,-710.011,393.694,1887.18,-728.993,406.011,1751.84,-722.618,413.256,1588.25,0,0,0,0,0,0,-746.671,434.701,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-607.567,506.716,2554.45,-562.648,570.762,2393.17,-824.917,696.391,2630.66,-829.119,661.615,2472.72,-779.564,407.025,2241.03,-731.167,744.208,2241.75,-866.069,514.251,2631.24,0,0,0,-730.153,720.444,2725.86,-675.815,871.72,2695.87,-658.137,1004.01,2687.47,-673.207,1096.75,2667.18,-596.699,1175.87,2673.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-868.098,76.0727,2669.06,-838.248,-1.7388,2708.62,0,0,0,-854.767,-7.38991,2633.71,0,0,0,-715.373,693.638,1371.34,-728.414,730.008,1584.48,0,0,0,0,0,0,-701.317,712.185,1780.82,-692.334,725.226,1883.7,-636.402,719.285,2233.2,0,0,0,-701.173,390.506,2224.94,-710.446,393.694,1887.18,-729.283,406.156,1751.84,-722.763,413.256,1588.25,0,0,0,0,0,0,-746.671,434.991,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-607.857,505.847,2554.45,-562.648,569.748,2393.03,-823.903,696.97,2630.52,-828.395,661.905,2472.58,-779.708,406.88,2241.03,-730.297,743.918,2241.61,-866.359,515.121,2631.24,0,0,0,-729.863,719.285,2726.73,-673.062,871.43,2695,-654.225,1003.58,2686.16,-668.28,1096.03,2665.44,-590.903,1174.56,2671.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-872.3,77.3768,2668.92,-843.32,-1.0143,2708.33,0,0,0,-859.693,-6.08581,2633.56,0,0,0,-715.228,693.638,1371.34,-727.979,729.863,1584.48,0,0,0,0,0,0,-700.883,711.895,1780.82,-691.899,724.936,1883.56,-635.678,718.995,2233.2,0,0,0,-701.462,390.072,2224.8,-711.026,393.404,1887.18,-729.863,406.156,1751.84,-723.197,413.256,1588.25,0,0,0,0,0,0,-746.816,434.991,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-607.857,504.978,2554.3,-562.648,568.589,2392.88,-822.744,697.55,2630.52,-827.815,662.194,2472.43,-779.853,406.59,2240.88,-729.718,743.628,2241.46,-866.214,515.99,2631.39,0,0,0,-728.559,719.43,2726.44,-670.309,871.141,2694.57,-650.602,1003.14,2685.58,-663.788,1095.3,2664.86,-585.832,1173.55,2671.24,0,0,0,0,0,0,0,0,0,0,0,0,-797.386,277.194,2701.81,-838.973,182.285,2691.52,-876.067,78.6809,2668.77,-848.391,-0.1449,2708.19,0,0,0,-864.62,-4.78171,2633.27,0,0,0,-715.228,693.493,1371.34,-727.979,729.573,1584.48,0,0,0,0,0,0,-700.883,711.46,1780.82,-691.754,724.501,1883.56,-635.098,718.271,2233.06,0,0,0,-701.607,389.637,2224.8,-711.46,393.114,1887.18,-730.442,406.011,1751.84,-723.632,413.111,1588.25,0,0,0,0,0,0,-746.816,434.846,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-607.857,504.253,2554.16,-562.793,567.574,2392.45,-821.44,698.13,2630.52,-827.236,662.484,2472.58,-780.288,406.3,2240.88,-729.428,743.049,2241.46,-865.779,516.714,2631.68,0,0,0,-726.82,719.43,2726.15,-667.845,870.851,2694.28,-647.125,1002.71,2685.58,-659.876,1095.01,2664.86,-581.63,1172.82,2671.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-841.291,183.154,2692.1,-879.545,80.1299,2668.92,-853.318,0.434701,2708.19,0,0,0,-869.112,-3.47761,2633.13,0,0,0,-715.228,693.348,1371.34,-727.834,729.283,1584.63,0,0,0,0,0,0,-700.883,710.881,1780.82,-691.609,724.067,1883.56,-634.953,717.546,2232.91,0,0,0,-702.187,388.912,2224.94,-712.04,392.535,1887.18,-731.022,405.576,1751.84,-724.067,412.676,1588.4,0,0,0,0,0,0,-747.106,434.701,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.233333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-607.712,503.529,2554.01,-562.938,566.56,2392.16,-820.136,698.419,2630.66,-826.511,662.484,2472.72,-781.013,405.721,2241.03,-729.283,742.324,2241.46,-865.345,517.294,2632.26,0,0,0,-725.226,719.72,2725.86,-665.527,870.416,2694.28,-644.227,1002.28,2685.87,-656.543,1094.43,2665.15,-578.152,1172.39,2671.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-882.298,81.2891,2669.35,-856.94,1.1592,2708.48,0,0,0,-872.879,-2.3184,2633.42,0,0,0,-715.083,693.203,1371.48,-727.834,728.993,1584.63,0,0,0,0,0,0,-700.883,710.446,1780.97,-691.609,723.342,1883.56,-634.808,716.677,2232.91,0,0,0,-703.056,388.188,2224.94,-713.054,391.955,1887.18,-731.891,405.141,1751.84,-724.646,412.241,1588.4,0,0,0,0,0,0,-747.251,434.556,1389.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
