Frame number,766
First frame,150
Point frequency,30
Analog frequency,30

Time,M000,,,M001,,,M002,,,M003,,,M004,,,M005,,,M006,,,M007,,,M008,,,M009,,,M010,,,M011,,,M012,,,M013,,,M014,,,M015,,,M016,,,M017,,,M018,,,M019,,,M020,,,M021,,,M022,,,M023,,,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,M031,,,M032,,,M033,,,M034,,,M035,,,M036,,,M037,,,M038,,,M039,,,M040,,,M041,,,M042,,,M043,,,M044,,,M045,,,M046,,,M047,,,M048,,,M049,,,M050,,,M051,,,M052,,,M053,,,M054,,,M055,,,M056,,,M057,,,M058,,,M059,,,M060,,,M061,,,M062,,,M063,,,M064,,,M065,,,M066,,,M067,,,M068,,,M069,,,M070,,,M071,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.96667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-603.655,526.423,2545.9,-571.052,597.569,2389.12,-853.318,668.28,2616.9,-848.246,625.535,2460.7,-742.759,400.07,2230.6,-760.871,738.122,2237.41,-850.42,472.955,2624.72,0,0,0,-777.1,706.099,2717.75,-736.818,868.098,2680.8,-736.238,996.334,2673.56,-758.843,1081.54,2654.57,-691.754,1171.08,2655.59,0,0,0,0,0,0,0,0,0,-781.302,447.162,2709.06,-720.879,249.084,2673.7,0,0,0,-769.565,45.2089,2618.2,-728.269,-29.7046,2649.07,0,0,0,-761.886,-36.5149,2613.13,0,0,0,-721.603,675.525,1371.05,-735.514,716.822,1583.76,0,0,0,0,0,0,-705.375,707.693,1777.93,-699.579,724.501,1881.53,-660.456,727.834,2234.22,0,0,0,-663.209,398.041,2217.84,-736.673,393.839,1626.94,-708.997,416.733,1745.9,-716.387,421.66,1582.75,0,0,0,0,0,0,-759.278,446.003,1387.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-603.22,526.133,2546.04,-570.762,597.279,2389.12,-852.593,668.135,2616.9,-847.812,625.535,2460.84,-742.614,400.07,2230.45,-760.727,738.267,2237.55,-849.985,472.955,2624.58,0,0,0,0,0,0,-736.238,867.953,2680.8,-735.949,996.19,2673.56,-758.843,1081.25,2654.43,-692.044,1170.94,2655.44,0,0,0,0,0,0,0,0,0,-781.013,447.162,2708.91,-721.169,248.649,2673.7,0,0,0,-770.725,45.2089,2617.91,-729.863,-29.9944,2648.63,0,0,0,-763.48,-36.6598,2612.84,0,0,0,-721.603,675.67,1371.05,-735.659,716.822,1583.76,0,0,0,0,0,0,-705.52,707.693,1777.93,-699.868,724.646,1881.53,-660.311,727.834,2234.22,0,0,0,-663.064,398.041,2217.84,-736.673,393.694,1626.94,-709.142,416.733,1745.9,-716.532,421.805,1582.89,0,0,0,0,0,0,-759.133,446.003,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-602.785,525.698,2545.9,-570.328,597.134,2388.97,-852.014,668.135,2617.04,-847.377,625.535,2460.84,-742.469,400.07,2230.45,-760.437,738.267,2237.55,-849.695,472.81,2624.58,0,0,0,-770.145,707.258,2713.26,-735.514,867.663,2680.95,-735.514,996.045,2673.7,-758.553,1081.1,2654.43,-692.044,1171.08,2655.3,0,0,0,0,0,0,0,0,0,-780.723,447.017,2708.91,0,0,0,-745.512,152.145,2655.88,-771.884,45.2089,2617.77,-731.457,-30.2842,2648.34,0,0,0,-765.074,-36.6598,2612.41,0,0,0,-721.748,675.67,1371.05,-735.514,716.967,1583.76,0,0,0,0,0,0,-705.52,707.838,1777.93,-699.724,724.646,1881.53,-660.021,727.834,2234.07,0,0,0,-662.919,397.896,2217.7,-736.673,393.839,1626.94,-709.142,416.733,1745.9,-716.532,421.805,1582.75,0,0,0,0,0,0,-759.278,446.003,1387.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-602.351,525.408,2545.9,-570.038,596.844,2388.97,-851.434,668.135,2617.19,-846.942,625.679,2460.99,-742.324,400.07,2230.45,-760.147,738.267,2237.55,-849.406,472.955,2624.58,0,0,0,-770.145,705.954,2714.56,-734.934,867.663,2681.09,-734.934,995.9,2673.85,-758.118,1080.96,2654.43,-691.754,1171.08,2655.15,0,0,0,0,0,0,0,0,0,-780.433,447.017,2708.77,-723.052,248.939,2673.85,-752.322,150.262,2654.86,-772.898,45.2089,2617.62,-732.761,-30.574,2648.05,0,0,0,-766.378,-36.6598,2612.12,0,0,0,-721.748,675.67,1371.05,-735.369,717.112,1583.76,0,0,0,0,0,0,-705.375,707.838,1777.93,-699.579,724.646,1881.53,-659.731,727.979,2234.07,0,0,0,-662.774,397.896,2217.55,-736.673,393.839,1626.94,-708.997,416.733,1745.9,-716.532,421.805,1582.75,0,0,0,0,0,0,-759.133,446.003,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-602.061,525.119,2545.9,-569.603,596.555,2388.97,-850.855,668.28,2617.33,-846.363,625.824,2461.13,-742.179,400.07,2230.45,-759.712,738.412,2237.55,-849.261,473.099,2624.58,0,0,0,-769.131,705.52,2714.85,-734.065,867.518,2681.24,-734.21,995.9,2673.99,-757.394,1080.81,2654.43,-691.174,1170.94,2655.3,0,0,0,0,0,0,0,0,0,-780.288,446.873,2708.77,-723.632,248.359,2673.99,-753.047,150.262,2654.72,-773.623,45.2089,2617.48,-733.775,-30.7189,2647.91,0,0,0,-767.392,-36.6598,2611.97,0,0,0,-721.603,675.67,1371.05,-735.369,717.112,1583.76,0,0,0,0,0,0,-705.23,707.838,1777.93,-699.289,724.646,1881.53,-659.296,727.979,2234.07,0,0,0,-662.629,397.751,2217.7,-736.673,393.984,1626.94,-709.142,416.733,1745.9,-716.532,421.805,1582.75,0,0,0,0,0,0,-759.278,446.003,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.13333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-601.771,524.829,2545.9,-569.313,596.265,2388.97,-850.42,668.425,2617.33,-846.073,626.114,2460.99,-742.034,400.07,2230.45,-758.988,738.557,2237.55,-849.116,473.244,2624.43,0,0,0,0,0,0,-733.34,867.373,2681.24,-733.195,995.755,2674.13,-756.524,1080.81,2654.57,-690.16,1170.94,2655.44,0,0,0,0,0,0,0,0,0,-780.288,446.873,2708.62,-723.922,248.214,2673.85,0,0,0,-774.347,45.3538,2617.33,-734.644,-30.7189,2647.91,0,0,0,-768.116,-36.8047,2611.97,0,0,0,-721.603,675.67,1371.05,-735.224,717.256,1583.76,0,0,0,0,0,0,-705.085,707.838,1777.93,-698.999,724.791,1881.53,-658.717,727.979,2234.07,0,0,0,-662.629,397.606,2217.55,-736.818,393.984,1626.94,-709.142,416.733,1745.9,-716.532,421.66,1582.75,0,0,0,0,0,0,-759.278,446.003,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-601.481,524.539,2545.9,-568.879,595.975,2388.97,-849.985,668.57,2617.19,-845.493,626.259,2460.99,-741.889,400.215,2230.45,-758.408,738.557,2237.55,-849.116,473.389,2624.29,0,0,0,0,0,0,-732.616,867.373,2681.38,-732.181,995.755,2674.28,-755.22,1080.67,2654.86,-688.711,1170.65,2655.88,0,0,0,0,0,0,0,0,0,-780.433,446.873,2708.48,0,0,0,0,0,0,-774.782,45.064,2617.62,-735.224,-30.8638,2648.2,0,0,0,-768.696,-36.8047,2612.26,0,0,0,-721.603,675.67,1371.05,-735.079,717.256,1583.76,0,0,0,0,0,0,-704.795,707.838,1777.93,-698.709,724.646,1881.53,-657.992,727.834,2234.07,0,0,0,-662.339,397.606,2217.41,-736.963,394.129,1626.8,-709.142,416.733,1745.9,-716.532,421.66,1582.75,0,0,0,0,0,0,-759.133,446.003,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-601.336,524.104,2546.04,-568.589,595.54,2388.97,-849.55,668.715,2617.33,-845.348,626.259,2460.84,-741.6,400.215,2230.31,-757.829,738.702,2237.7,-849.116,473.534,2624.14,0,0,0,0,0,0,-731.602,867.228,2681.52,-731.022,995.465,2674.57,-753.771,1080.67,2655.3,-686.827,1170.36,2656.46,0,0,0,0,0,0,0,0,0,-780.578,446.873,2708.48,-723.922,247.49,2673.56,0,0,0,-775.072,45.064,2617.91,-735.514,-31.0087,2648.63,0,0,0,-769.131,-36.9496,2612.7,0,0,0,-721.603,675.67,1371.05,-734.934,717.256,1583.62,0,0,0,0,0,0,-704.505,707.983,1777.93,-698.275,724.646,1881.39,-657.413,727.979,2234.07,0,0,0,-662.194,397.462,2217.41,-736.963,393.984,1626.94,-709.142,416.733,1745.9,-716.532,421.66,1582.89,0,0,0,0,0,0,-759.278,446.003,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
