Frame number,702
First frame,150
Point frequency,30
Analog frequency,30

Time,M000,,,M001,,,M002,,,M003,,,M004,,,M005,,,M006,,,M007,,,M008,,,M009,,,M010,,,M011,,,M012,,,M013,,,M014,,,M015,,,M016,,,M017,,,M018,,,M019,,,M020,,,M021,,,M022,,,M023,,,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,M031,,,M032,,,M033,,,M034,,,M035,,,M036,,,M037,,,M038,,,M039,,,M040,,,M041,,,M042,,,M043,,,M044,,,M045,,,M046,,,M047,,,M048,,,M049,,,M050,,,M051,,,M052,,,M053,,,M054,,,M055,,,M056,,,M057,,,M058,,,M059,,,M060,,,M061,,,M062,,,M063,,,M064,,,M065,,,M066,,,M067,,,M068,,,M069,,,M070,,,M071,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.96667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-609.016,543.086,2544.59,-571.197,615.102,2388.68,-859.838,694.507,2628.64,-849.985,660.745,2468.23,-766.523,432.093,2232.04,-760.147,769.855,2239.87,-861.142,504.978,2629.36,0,0,0,-764.059,730.297,2718.18,-729.428,886.935,2681.81,-717.112,1016.91,2670.37,-739.426,1109.5,2653.27,-669.439,1192.09,2646.6,0,0,0,0,0,0,0,0,0,0,0,0,-734.355,278.064,2679.06,-758.843,175.474,2668.05,-780.578,67.8133,2637.91,-733.485,-5.36131,2662.4,0,0,0,-772.898,-13.7655,2633.42,0,0,0,-735.514,697.55,1370.76,-744.643,741.889,1582.46,0,0,0,0,0,0,-711.75,731.167,1774.16,-705.52,751.743,1881.24,-661.76,753.626,2234.07,0,0,0,-687.552,424.993,2217.55,-755.51,443.974,1625.64,-730.587,459.624,1746.05,-731.457,469.912,1583.76,0,0,0,0,0,0,-763.045,503.529,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-609.161,543.231,2544.59,-571.487,615.392,2388.68,-859.983,694.507,2628.64,-850.275,660.745,2468.23,-766.667,432.093,2232.19,-760.727,770,2240.16,-861.287,504.978,2629.36,0,0,0,0,0,0,-729.718,886.935,2681.67,-717.546,1017.06,2670.08,-739.861,1109.5,2652.83,-670.019,1192.24,2646.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-780.288,68.1031,2638.05,-733.34,-5.07151,2662.25,0,0,0,-772.753,-13.6206,2633.42,0,0,0,-735.514,697.405,1370.9,-744.643,741.889,1582.46,0,0,0,0,0,0,-711.895,731.022,1774.3,-705.809,751.888,1881.24,-662.049,753.771,2234.07,0,0,0,-687.842,425.137,2217.7,0,0,0,-730.587,459.624,1746.05,-731.457,470.057,1583.76,0,0,0,0,0,0,-763.045,503.529,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-609.596,543.666,2544.59,-572.066,615.826,2388.54,-860.563,694.652,2628.64,-850.71,660.745,2468.23,-766.957,432.382,2232.04,-761.306,770.145,2240.01,-861.577,505.122,2629.51,0,0,0,-768.116,731.457,2719.63,-730.297,887.369,2681.38,-718.271,1017.34,2669.64,-740.73,1109.65,2652.11,-670.888,1192.53,2645.15,0,0,0,0,0,0,0,0,0,0,0,0,-734.21,278.498,2679.21,0,0,0,-780.143,68.248,2637.91,-733.051,-4.78171,2662.25,0,0,0,-772.319,-13.3308,2633.42,0,0,0,-735.514,697.405,1370.9,-744.788,742.034,1582.46,0,0,0,0,0,0,-712.185,731.312,1774.3,-706.244,752.033,1881.24,-662.919,754.061,2234.07,0,0,0,-688.131,425.427,2217.7,-756.235,444.699,1625.06,-730.587,459.769,1746.05,-731.457,470.057,1583.76,0,0,0,0,0,0,-763.045,503.529,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-609.885,544.101,2544.59,-572.646,616.261,2388.54,-860.998,694.797,2628.64,-851.144,660.745,2468.23,-767.102,432.527,2232.19,-762.465,770.145,2240.45,-861.867,505.267,2629.65,0,0,0,-768.696,731.746,2719.63,-731.022,887.659,2681.24,-718.85,1017.63,2669.21,-741.6,1109.94,2651.82,-671.758,1192.82,2644.72,0,0,0,0,0,0,0,0,0,0,0,0,-734.21,278.788,2679.35,-758.698,176.344,2668.34,-779.853,68.5378,2637.91,-732.761,-4.63681,2662.25,0,0,0,-772.174,-13.1859,2633.27,0,0,0,-735.514,697.405,1370.9,-745.077,742.034,1582.46,0,0,0,0,0,0,-712.62,731.457,1774.3,-706.824,752.177,1881.24,-663.498,754.351,2233.93,0,0,0,-688.276,425.717,2217.7,-755.8,444.844,1625.2,-730.587,459.769,1746.05,-731.457,470.201,1583.76,0,0,0,0,0,0,-763.045,503.529,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-610.32,544.535,2544.59,-573.081,616.696,2388.54,-861.577,694.942,2628.64,-851.434,661.035,2467.94,-767.247,432.527,2232.19,-762.61,770.29,2240.01,-862.012,505.267,2629.65,0,0,0,-769.131,732.036,2719.63,-731.746,887.949,2681.09,-719.72,1017.92,2669.06,-742.469,1110.23,2651.68,-672.627,1193.11,2644.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-758.408,176.344,2668.19,-779.708,68.8276,2637.91,-732.616,-4.34701,2662.11,0,0,0,-771.884,-12.8961,2633.27,0,0,0,-735.514,697.405,1370.76,-745.222,742.179,1582.31,0,0,0,0,0,0,-712.909,731.602,1774.3,-707.113,752.322,1881.24,-664.223,754.496,2233.93,0,0,0,-688.421,425.862,2217.84,-755.8,444.844,1625.2,-730.732,459.914,1746.19,-731.457,470.346,1583.76,0,0,0,0,0,0,-763.045,503.673,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.13333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-610.61,544.97,2544.59,-573.66,617.13,2388.54,-862.012,695.087,2628.49,-852.014,660.89,2468.09,-767.392,432.672,2232.19,-763.19,770.58,2240.01,-862.302,505.412,2629.65,0,0,0,-769.855,732.326,2719.49,-732.471,888.239,2681.09,-720.444,1018.21,2669.06,-743.338,1110.52,2651.53,-673.497,1193.4,2644.58,0,0,0,0,0,0,0,0,0,0,0,0,-737.832,283.135,2680.95,-758.408,176.633,2668.05,-779.564,69.1174,2637.62,-732.471,-4.05721,2661.96,0,0,0,-771.594,-12.6063,2632.98,0,0,0,-735.514,697.55,1370.76,-745.367,742.324,1582.31,0,0,0,0,0,0,-713.344,731.746,1774.3,-707.548,752.467,1881.24,-664.658,754.786,2233.93,0,0,0,-688.421,426.152,2217.84,-755.8,444.989,1625.35,-730.877,459.914,1746.34,-731.312,470.346,1583.91,0,0,0,0,0,0,-763.045,503.529,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-610.9,545.405,2544.59,-574.24,617.42,2388.54,-862.447,695.232,2628.49,-852.304,661.035,2468.09,-767.537,432.817,2232.33,-763.769,770.725,2239.87,-862.591,505.702,2629.65,0,0,0,0,0,0,-733.051,888.673,2680.95,-721.169,1018.5,2668.92,-744.063,1110.81,2651.53,-674.221,1193.69,2644.43,0,0,0,0,0,0,0,0,0,0,0,0,-737.832,283.425,2680.8,0,0,0,-779.419,69.4072,2637.33,-732.181,-3.62251,2661.53,0,0,0,-771.449,-12.3165,2632.69,0,0,0,-735.514,697.55,1370.76,-745.657,742.324,1582.31,0,0,0,0,0,0,-713.489,731.602,1774.3,-707.983,752.612,1881.24,-665.237,755.22,2234.07,0,0,0,-688.566,426.442,2217.99,-755.655,445.134,1625.35,-730.732,459.914,1746.48,-731.167,470.491,1583.91,0,0,0,0,0,0,-763.045,503.673,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-611.189,545.839,2544.59,-574.675,617.855,2388.54,-862.881,695.377,2628.49,-853.318,661.035,2467.94,-767.682,432.962,2232.33,-764.349,770.87,2239.87,-862.881,505.847,2629.65,0,0,0,-766.233,733.34,2718.62,-733.63,888.963,2680.8,-721.893,1018.79,2668.77,-744.788,1111.1,2651.53,-674.801,1193.98,2644.29,0,0,0,0,0,0,0,0,0,0,0,0,-737.832,283.715,2680.66,0,0,0,-779.419,69.697,2637.19,-732.036,-3.33271,2661.09,0,0,0,-771.304,-12.0267,2632.4,0,0,0,-735.514,697.55,1370.76,-745.802,742.324,1582.31,0,0,0,0,0,0,-714.214,731.312,1774.01,-708.273,752.757,1881.24,-665.672,755.365,2234.07,0,0,0,-688.856,426.731,2217.99,-755.22,445.134,1625.35,-730.587,460.058,1746.63,-731.022,470.636,1583.91,0,0,0,0,0,0,-763.045,503.673,1386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
