Frame number,2570
First frame,1
Point frequency,30
Analog frequency,30

Time,M000,,,M001,,,M002,,,M003,,,M004,,,M005,,,M006,,,M007,,,M008,,,M009,,,M010,,,M011,,,M012,,,M013,,,M014,,,M015,,,M016,,,M017,,,M018,,,M019,,,M020,,,M021,,,M022,,,M023,,,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,M031,,,M032,,,M033,,,M034,,,M035,,,M036,,,M037,,,M038,,,M039,,,M040,,,M041,,,M042,,,M043,,,M044,,,M045,,,M046,,,M047,,,M048,,,M049,,,M050,,,M051,,,M052,,,M053,,,M054,,,M055,,,M056,,,M057,,,M058,,,M059,,,M060,,,M061,,,M062,,,M063,,,M064,,,M065,,,M066,,,M067,,,M068,,,M069,,,M070,,,M071,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-627.708,516.57,2563.29,-593.946,583.658,2396.94,-877.226,650.313,2637.33,-868.243,626.839,2477.51,-790.431,387.029,2239.29,-790.141,727.11,2242.48,-887.659,494.4,2642.55,0,0,0,0,0,0,-797.241,831.293,2750.64,-824.772,951.705,2785.27,-869.692,1034.15,2799.04,-830.568,1127.61,2824.4,0,0,0,0,0,0,0,0,0,-783.766,379.059,2700.36,-789.417,295.307,2752.09,-826.656,201.122,2783.97,-864.185,95.4893,2801.79,-822.744,30.8638,2851.93,0,0,0,-861.722,-2.3184,2790.63,0,0,0,-786.519,676.25,1371.05,-793.329,714.069,1584.19,0,0,0,0,0,0,-756.38,701.462,1780.97,-749.424,714.648,1880.81,-693.638,714.214,2234.36,0,0,0,-711.171,382.537,2222.19,-735.659,390.796,1885.88,-753.916,410.068,1746.19,-751.888,418.037,1585.35,0,0,0,0,0,0,-790.141,443.685,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-627.418,516.425,2563.72,-593.512,583.803,2397.23,-876.937,649.878,2637.62,-867.808,627.128,2477.79,-790.286,387.174,2239.43,-789.851,727.255,2242.77,-887.659,494.69,2642.69,0,0,0,-801.444,675.38,2738.47,-797.821,830.134,2752.38,-826.221,950.111,2787.88,-870.996,1032.85,2800.78,-833.901,1125.59,2828.45,0,0,0,0,0,0,0,0,0,-783.911,379.059,2700.36,-792.315,295.162,2751.8,-827.526,201.846,2784.69,-865.924,97.373,2803.97,-824.772,33.0373,2854.83,0,0,0,-864.33,-0.1449,2793.97,0,0,0,-786.519,676.25,1371.05,-793.329,714.069,1584.19,0,0,0,0,0,0,-756.38,701.462,1780.97,-749.279,714.793,1880.81,-693.203,714.503,2234.36,0,0,0,-711.026,382.537,2222.19,-735.659,390.796,1886.02,-753.916,410.068,1746.19,-752.033,418.037,1585.35,0,0,0,0,0,0,-790.141,443.685,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-626.984,516.57,2564.3,-593.077,583.948,2397.67,-876.647,649.298,2638.05,-867.083,627.273,2478.08,-789.996,387.463,2239.58,-789.417,727.544,2242.91,-887.514,495.269,2642.84,0,0,0,-801.444,674.656,2738.76,-798.835,828.25,2754.55,-827.96,947.793,2791.79,-874.183,1029.66,2805.27,-838.828,1122.83,2833.96,0,0,0,0,0,0,0,0,0,-784.055,379.204,2700.36,-791.735,295.162,2752.82,-829.554,203.875,2786.29,-868.967,99.9812,2806.72,-827.815,35.5006,2858.3,0,0,0,-868.098,1.8837,2797.59,0,0,0,-786.519,676.25,1371.05,-793.039,714.069,1584.19,0,0,0,0,0,0,-755.945,701.607,1780.97,-748.845,714.938,1880.81,-692.768,714.503,2234.8,0,0,0,-710.736,382.827,2222.34,-735.369,390.941,1886.02,-753.626,410.213,1746.34,-751.743,418.037,1585.35,0,0,0,0,0,0,-790.141,443.685,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-626.549,516.714,2564.59,-592.642,584.383,2397.95,-876.357,648.864,2638.05,-866.794,627.128,2478.08,-789.417,387.608,2239.58,-789.127,727.834,2243.06,-887.804,495.414,2642.4,0,0,0,0,0,0,-799.705,827.381,2755.57,-829.264,946.489,2793.68,-876.212,1028.07,2807.59,-842.16,1121.24,2836.86,0,0,0,0,0,0,0,0,0,-784.49,379.349,2700.36,-787.823,295.741,2756,-831.148,204.309,2786,-870.851,100.851,2807.44,-830.279,36.37,2858.88,0,0,0,0,0,0,0,0,0,-786.519,676.25,1371.05,-792.749,714.069,1584.05,0,0,0,0,0,0,-755.51,701.752,1780.97,-748.41,714.938,1880.81,-692.623,714.793,2234.8,0,0,0,-710.156,383.116,2222.34,-734.789,391.231,1886.02,-753.047,410.213,1746.19,-751.453,418.327,1585.21,0,0,0,0,0,0,-790.141,443.685,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-626.404,516.859,2564.59,-592.497,584.962,2398.1,-876.937,648.574,2637.91,-866.794,626.984,2477.79,-788.837,387.753,2239.43,-789.272,727.979,2242.91,-887.949,494.979,2641.53,0,0,0,0,0,0,-800.139,827.381,2755.42,-829.989,946.634,2793.53,-877.371,1027.78,2807.44,-843.754,1121.24,2836.71,0,0,0,0,0,0,0,0,0,-785.07,379.784,2700.36,-788.113,295.597,2755.71,-831.873,202.571,2783.39,-872.445,100.126,2805.12,-832.742,35.2108,2857,0,0,0,0,0,0,0,0,0,-786.519,676.395,1371.05,-792.605,714.214,1584.05,0,0,0,0,0,0,-755.22,701.897,1780.97,-748.12,715.228,1880.81,-692.623,715.228,2234.94,0,0,0,-709.432,383.551,2222.34,-733.92,391.521,1885.88,-752.467,410.503,1746.19,-751.018,418.472,1585.21,0,0,0,0,0,0,-789.996,443.685,1387.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-626.404,517.149,2564.45,-592.497,585.397,2397.95,-877.226,648.574,2637.33,-867.083,626.839,2477.36,-788.113,388.043,2239.14,-789.272,728.124,2242.62,-887.949,494.11,2640.81,0,0,0,-803.037,674.221,2738.76,-801.009,828.105,2754.26,-830.713,947.503,2791.5,-877.806,1029.08,2804.83,-843.899,1122.4,2833.53,0,0,0,0,0,0,0,0,0,-785.939,380.363,2700.36,-797.966,293.568,2747.74,-832.162,200.542,2780.64,-873.169,97.8077,2800.05,-834.915,32.4577,2852.07,0,0,0,-873.749,6.23071,2790.34,0,0,0,-786.374,676.25,1370.9,-792.46,714.214,1584.05,0,0,0,0,0,0,-755.075,702.042,1780.82,-747.975,715.518,1880.66,-692.623,715.518,2234.8,0,0,0,-708.852,383.841,2222.19,-733.34,391.955,1885.88,-752.033,410.792,1746.19,-750.728,418.617,1585.06,0,0,0,0,0,0,-789.996,443.83,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-626.549,517.439,2564.01,-592.497,585.977,2397.67,-877.806,648.284,2636.75,-867.518,626.259,2476.93,-787.388,388.188,2238.85,-789.417,728.269,2242.48,-888.094,492.951,2640.23,0,0,0,0,0,0,-801.299,829.264,2752.38,-830.568,949.242,2788.17,-877.226,1031.11,2800.34,-842.885,1125.01,2827.58,0,0,0,0,0,0,0,0,0,-786.953,380.943,2700.36,-796.807,291.539,2744.56,-832.017,199.383,2779.19,-873.024,94.475,2793.1,-835.785,27.8209,2844.54,0,0,0,0,0,0,0,0,0,-786.519,676.395,1370.9,-792.315,714.358,1583.91,0,0,0,0,0,0,-754.931,702.622,1781.11,-747.83,715.663,1880.66,-692.623,716.242,2234.65,0,0,0,-708.128,384.131,2222.05,-732.616,392.245,1885.73,-751.308,411.082,1746.19,-750.294,418.762,1585.06,0,0,0,0,0,0,-789.851,443.83,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.233333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-626.694,517.729,2563.43,-592.642,586.701,2397.38,-878.53,648.139,2635.88,-867.953,625.824,2476.2,-786.953,388.478,2238.71,-789.707,728.414,2242.19,-887.804,491.212,2639.21,0,0,0,0,0,0,-801.299,831.148,2749.19,-829.989,951.995,2782.96,-876.212,1034.3,2793.82,-841.146,1128.19,2819.47,0,0,0,0,0,0,0,0,0,-788.113,381.667,2700.22,-794.343,289.221,2743.25,-831.148,193.297,2771.22,-872.01,90.2729,2784.55,-835.495,22.4595,2834.97,0,0,0,-872.3,-6.23071,2771.07,0,0,0,-786.374,676.395,1370.9,-792.17,714.503,1583.91,0,0,0,0,0,0,-754.931,702.332,1780.53,-747.83,715.952,1880.52,-693.058,716.387,2234.51,0,0,0,-707.548,384.71,2221.9,-732.036,392.535,1885.73,-751.018,411.372,1745.9,-750.004,419.052,1584.92,0,0,0,0,0,0,-789.851,443.83,1387.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
