Frame number,770
First frame,150
Point frequency,30
Analog frequency,30

Time,M000,,,M001,,,M002,,,M003,,,M004,,,M005,,,M006,,,M007,,,M008,,,M009,,,M010,,,M011,,,M012,,,M013,,,M014,,,M015,,,M016,,,M017,,,M018,,,M019,,,M020,,,M021,,,M022,,,M023,,,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,M031,,,M032,,,M033,,,M034,,,M035,,,M036,,,M037,,,M038,,,M039,,,M040,,,M041,,,M042,,,M043,,,M044,,,M045,,,M046,,,M047,,,M048,,,M049,,,M050,,,M051,,,M052,,,M053,,,M054,,,M055,,,M056,,,M057,,,M058,,,M059,,,M060,,,M061,,,M062,,,M063,,,M064,,,M065,,,M066,,,M067,,,M068,,,M069,,,M070,,,M071,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.96667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-792.315,506.427,2550.1,-752.612,573.95,2391,-1023.58,683.929,2626.32,-1023.43,643.067,2471.71,-956.922,398.766,2237.55,-924.029,735.224,2240.74,-1047.48,492.661,2631.97,0,0,0,-934.462,710.736,2719.63,-893.021,863.316,2691.81,-875.198,990.249,2687.61,-892.006,1083.27,2676.6,-814.485,1160.8,2675.58,0,0,0,0,0,0,0,0,0,-973.585,420.356,2705.58,-941.707,268.935,2701.09,-966.92,160.115,2703.69,-994.161,51.8743,2691.81,-948.517,-21.735,2718.33,0,0,0,-988.8,-30.4291,2697.46,0,0,0,-919.682,687.842,1372.64,-920.407,725.95,1587.53,0,0,0,0,0,0,-888.384,705.23,1782.85,-877.226,720.734,1883.41,-826.077,713.199,2234.8,0,0,0,-880.124,385.725,2221.32,-949.387,396.157,1632.88,-925.333,410.068,1752.28,-925.333,415.719,1590.57,0,0,0,0,0,0,-948.517,446.873,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-792.315,507.151,2550.1,-752.902,574.095,2390.85,-1023.43,684.654,2626.17,-1023.14,643.647,2471.56,-956.922,398.766,2237.26,-923.45,734.934,2240.45,-1047.34,493.385,2632.26,0,0,0,-933.882,710.446,2719.05,-893.021,864.33,2691.81,-875.343,991.118,2688.05,-892.296,1084.14,2677.18,-814.629,1161.67,2676.6,0,0,0,0,0,0,0,0,0,-973.73,420.501,2705.72,-941.707,268.935,2701.09,-965.471,160.405,2703.98,-993.436,52.4539,2691.96,-947.648,-21.0105,2718.33,0,0,0,-988.075,-29.7046,2697.46,0,0,0,-919.827,687.552,1372.5,-920.117,725.806,1587.53,0,0,0,0,0,0,-888.094,705.23,1783.29,-876.792,720.154,1883.27,-825.642,712.765,2234.65,0,0,0,-880.414,385.29,2221.32,-949.387,395.723,1633.17,-925.623,409.923,1752.28,-925.623,415.429,1590.72,0,0,0,0,0,0,-948.517,446.873,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-792.315,507.731,2550.1,-753.047,574.24,2390.71,-1023.29,685.378,2626.03,-1023.14,644.082,2471.42,-957.211,398.766,2237.41,-923.015,734.789,2240.45,-1047.05,493.965,2632.26,0,0,0,-932.288,710.011,2717.46,-893.165,865.055,2691.67,-875.488,991.842,2687.9,-892.441,1084.87,2677.32,-814.629,1162.25,2676.89,0,0,0,0,0,0,0,0,0,-974.02,421.08,2706.01,-941.707,268.79,2701.09,-965.181,161.564,2703.84,-992.712,53.3233,2692.1,-946.923,-20.286,2718.33,0,0,0,-987.351,-28.8352,2697.61,0,0,0,-919.827,687.552,1372.5,-919.972,725.516,1587.38,0,0,0,0,0,0,-887.659,704.94,1783.14,-876.357,719.865,1883.27,-825.207,712.33,2234.51,0,0,0,-880.559,385,2221.47,-949.387,393.839,1634.33,-925.768,409.633,1752.28,-925.768,415.284,1590.72,0,0,0,0,0,0,-948.662,446.728,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-792.17,508.455,2549.96,-753.047,574.675,2390.57,-1023.43,685.813,2626.03,-1023,644.372,2471.27,-957.211,398.621,2237.41,-922.725,734.644,2240.16,-1046.9,494.545,2632.26,0,0,0,-930.26,709.432,2715.43,-893.165,865.779,2691.23,-875.632,992.422,2687.61,-892.441,1085.45,2677.03,-814.629,1162.82,2676.6,0,0,0,0,0,0,0,0,0,-974.454,421.95,2706.3,-941.707,268.79,2701.23,-963.297,161.564,2702.68,-992.277,53.758,2691.96,-946.489,-19.7064,2718.33,0,0,0,-986.771,-28.4005,2697.46,0,0,0,-919.682,687.697,1372.64,-919.827,725.516,1587.38,0,0,0,0,0,0,-887.514,704.795,1783.14,-876.067,719.72,1883.12,-824.917,712.04,2234.36,0,0,0,-880.559,384.855,2221.47,-950.546,394.708,1633.61,-925.768,409.633,1752.28,-925.913,415.139,1590.72,0,0,0,0,0,0,-948.662,446.728,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-792.17,508.745,2549.96,-753.047,574.53,2390.28,-1023.29,686.248,2625.74,-1022.85,644.516,2471.13,-956.777,398.621,2237.41,-922.725,734.644,2240.16,-1046.76,494.834,2632.26,0,0,0,-928.376,708.997,2713.55,-893.021,866.359,2690.65,-875.488,993.147,2686.6,-892.296,1086.03,2675.87,-814.34,1163.26,2675,0,0,0,0,0,0,0,0,0,-975.034,423.109,2706.88,-941.562,268.645,2701.38,-963.442,159.39,2701.81,-991.698,54.0478,2691.81,-945.764,-19.2717,2718.04,0,0,0,-986.191,-27.9658,2697.32,0,0,0,-919.827,687.407,1372.35,-919.827,725.516,1587.53,0,0,0,0,0,0,-887.514,704.795,1783,-875.922,719.72,1883.12,-824.917,712.185,2234.36,0,0,0,-880.124,384.855,2221.47,-950.401,394.708,1633.46,-925.623,409.633,1752.28,-925.913,415.139,1590.57,0,0,0,0,0,0,-948.662,446.728,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.13333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-792.025,509.18,2549.81,-753.047,575.254,2390.57,-1023.14,686.538,2625.59,-1022.85,644.661,2470.98,-956.197,398.621,2237.41,-922.725,734.644,2240.16,-1046.47,495.124,2632.26,0,0,0,-926.927,708.562,2712.1,-892.731,866.794,2689.78,-875.053,993.581,2685.29,-891.716,1086.61,2674.28,-813.76,1163.69,2672.69,0,0,0,0,0,0,0,0,0,-975.614,424.558,2707.61,-941.562,268.645,2701.52,-963.877,159.825,2702.39,-990.828,54.4825,2691.52,-945.185,-19.1268,2717.6,0,0,0,-985.757,-27.676,2697.03,0,0,0,-919.827,687.407,1372.5,-919.972,725.516,1587.53,0,0,0,0,0,0,-886.79,703.056,1779.81,-875.922,719.72,1883.12,-824.772,712.33,2234.22,0,0,0,-879.545,385,2221.32,-950.256,392.245,1633.9,-925.333,409.778,1752.28,-925.768,415.139,1590.72,0,0,0,0,0,0,-948.662,446.728,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-791.88,509.469,2549.67,-752.902,575.544,2390.42,-1023.14,686.827,2625.45,-1022.85,644.661,2470.84,-955.473,398.621,2237.41,-922.725,734.934,2240.01,-1046.47,495.124,2632.26,0,0,0,-926.492,708.418,2711.66,-892.296,867.228,2688.91,-874.328,993.871,2683.84,-890.702,1086.9,2672.4,-812.891,1164.13,2669.79,0,0,0,0,0,0,0,0,0,-976.483,426.297,2708.48,-941.562,268.5,2701.67,-965.036,160.839,2703.84,-990.393,54.6274,2691.23,-944.75,-19.1268,2717.32,0,0,0,-985.322,-27.5311,2696.59,0,0,0,-919.827,687.552,1372.5,-919.972,725.661,1587.53,0,0,0,0,0,0,-883.167,709.867,1784.3,-875.922,720.01,1883.12,-824.772,712.765,2234.22,0,0,0,-878.82,385.29,2221.32,-950.836,392.1,1633.46,-924.754,409.923,1752.13,-925.478,415.284,1590.72,0,0,0,0,0,0,-948.517,446.728,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-791.88,509.759,2549.52,-753.047,575.979,2390.42,-1023.14,686.972,2625.3,-1023,644.661,2470.69,-954.748,398.766,2237.26,-922.58,734.934,2240.01,-1046.33,495.124,2632.11,0,0,0,-927.507,708.707,2712.68,-891.716,867.373,2688.19,-873.459,994.161,2682.39,-889.688,1087.33,2670.51,-812.021,1164.27,2666.89,0,0,0,0,0,0,0,0,0,-977.497,428.325,2709.49,-941.562,268.5,2701.67,-966.05,161.999,2705.14,-989.959,54.6274,2691.23,-944.17,-18.837,2717.46,0,0,0,-984.887,-27.3862,2696.74,0,0,0,-919.827,687.552,1372.5,-919.827,725.806,1587.53,0,0,0,0,0,0,-883.457,708.852,1783.29,-875.777,720.299,1883.12,-824.772,713.054,2234.07,0,0,0,-877.951,385.58,2221.32,-950.401,392.1,1633.46,-924.319,410.213,1752.13,-925.188,415.429,1590.72,0,0,0,0,0,0,-948.517,446.873,1389.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
